Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,√x (sx) error ,Pauli-X error ,CNOT error ,Gate time (ns)
0,107.66313060971487,41.444569415152095,5.235355764951941,-0.33986713855915607,0.010800000000000032,0.0116,0.010000000000000009,789.3333333333333,0.00019933186366676906,0.00019933186366676906,0.00019933186366676906,0_1:1,0_1:576
1,137.2807432539422,84.50826087491423,5.099645467634322,-0.3432484042938357,0.015900000000000025,0.015,0.016800000000000037,789.3333333333333,0.0001678920390424827,0.0001678920390424827,0.0001678920390424827,1_3:1; 1_2:1; 1_0:1,1_3:334.22222222222223; 1_2:327.1111111111111; 1_0:611.5555555555555
2,142.91923942217662,69.67667403286319,5.188294874354934,-0.3419316690031256,0.007600000000000051,0.008,0.007199999999999984,789.3333333333333,0.00020466539942988558,0.00020466539942988558,0.00020466539942988558,2_1:1,2_1:291.55555555555554
3,123.95818683887394,86.17323031457681,4.987467442029319,-0.3452928861203798,0.01429999999999998,0.0168,0.011800000000000033,789.3333333333333,0.00014623388322790822,0.00014623388322790822,0.00014623388322790822,3_1:1; 3_5:1,3_1:298.66666666666663; 3_5:334.22222222222223
4,147.51821639088257,27.544123490094133,5.285385492897331,-0.3392342674107948,0.025700000000000056,0.033399999999999985,0.018,789.3333333333333,0.002152039248246701,0.002152039248246701,0.002152039248246701,4_5:1,4_5:362.66666666666663
5,171.40451712443178,78.02341752767752,5.176092280076739,-0.34079297245074963,0.014799999999999924,0.013,0.016599999999999948,789.3333333333333,0.00017432844202741076,0.00017432844202741076,0.00017432844202741076,5_4:1; 5_6:1; 5_3:1,5_4:327.1111111111111; 5_6:256; 5_3:298.66666666666663
6,186.87330577028487,118.085684957483,5.063903095737737,-0.34275836537159754,0.016199999999999992,0.016800000000000037,0.0156,789.3333333333333,0.00017270210298521308,0.00017270210298521308,0.00017270210298521308,6_5:1,6_5:291.55555555555554
