Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,√x (sx) error ,Pauli-X error ,CNOT error ,Gate time (ns)
0,200.40009652200553,41.139324024637,5.236583039968909,-0.339883615358574,0.04849999999999999,0.0596,0.03739999999999999,5518.222222222222,0.00034790328970457716,0.00034790328970457716,0.00034790328970457716,0_1:0.006718495816955078,0_1:234.66666666666666
1,73.19523142597508,28.603512666689667,5.014379878819125,-0.3432005583724651,0.017100000000000004,0.028000000000000025,0.0062,5518.222222222222,0.00019069481917481174,0.00019069481917481174,0.00019069481917481174,1_2:0.009233212082455838; 1_3:0.007835066611558278; 1_0:0.006718495816955078,1_2:284.44444444444446; 1_3:384; 1_0:270.22222222222223
2,205.36647209587855,23.141122021436914,5.108409770540979,-0.3416150041672664,0.014499999999999957,0.023399999999999976,0.0056,5518.222222222222,0.00019387634694686972,0.00019387634694686972,0.00019387634694686972,2_1:0.009233212082455838,2_1:248.88888888888889
3,119.50131145967941,38.018256148636056,5.178146652151483,-0.3411171247904715,0.014699999999999935,0.020000000000000018,0.0094,5518.222222222222,0.00022066643172283544,0.00022066643172283544,0.00022066643172283544,3_5:0.00656118145652429; 3_1:0.007835066611558278,3_5:398.2222222222222; 3_1:419.55555555555554
4,127.64820814129594,96.74028486685873,5.2130371247255844,-0.3392533874360392,0.019500000000000073,0.03080000000000005,0.0082,5518.222222222222,0.00016499549760481315,0.00016499549760481315,0.00016499549760481315,4_5:0.009128951862528767,4_5:540.4444444444445
5,239.10780813045218,57.80019821051109,5.063320953121637,-0.3412893561600795,0.04169999999999996,0.04459999999999997,0.0388,5518.222222222222,0.00017505366937521597,0.00017505366937521597,0.00017505366937521597,5_6:0.006650529140759309; 5_4:0.009128951862528767; 5_3:0.00656118145652429,5_6:312.88888888888886; 5_4:504.88888888888886; 5_3:362.66666666666663
6,114.34705774252133,22.585919707074222,5.300642094834041,-0.3383638923290693,0.045700000000000074,0.0514,0.04,5518.222222222222,0.00026157573333986957,0.00026157573333986957,0.00026157573333986957,6_5:0.006650529140759309,6_5:277.3333333333333
