Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,√x (sx) error ,Pauli-X error ,CNOT error ,Gate time (ns)
0,137.1975609326854,31.06309017745302,5.260490870542308,-0.3398345949354833,0.025399999999999978,0.038799999999999946,0.012,5560.888888888889,0.00029539209161343446,0.00029539209161343446,0.00029539209161343446,0_1:0.012586211026517385,0_1:248.88888888888889
1,104.00833925097109,82.65064026427166,5.170449256671933,-0.3405834792685346,0.02310000000000001,0.0338,0.012399999999999967,5560.888888888889,0.00032766197578444525,0.00032766197578444525,0.00032766197578444525,1_3:0.00763432229879607; 1_2:0.008684068715652471; 1_0:0.012586211026517385,1_3:270.22222222222223; 1_2:426.66666666666663; 1_0:284.44444444444446
2,95.35966255913604,104.66311180044922,5.274340367735195,-0.3389036888077824,0.02949999999999997,0.04959999999999998,0.0094,5560.888888888889,0.00026369472161265063,0.00026369472161265063,0.00026369472161265063,2_1:0.008684068715652471,2_1:391.1111111111111
3,143.2738488618665,49.18913157741928,5.026679734255878,-0.34253037607049963,0.03289999999999993,0.0514,0.014399999999999968,5560.888888888889,0.00027498073420642664,0.00027498073420642664,0.00027498073420642664,3_5:0.01601542460767899; 3_1:0.00763432229879607,3_5:277.3333333333333; 3_1:305.77777777777777
4,115.81447564811498,82.86836590960695,5.177182602685042,-0.34059039974918304,0.023600000000000065,0.039000000000000035,0.0082,5560.888888888889,0.0003883166346134956,0.0003883166346134956,0.0003883166346134956,4_5:0.006903448509579413,4_5:312.88888888888886
5,69.50914470110284,16.134137932660167,5.292509927870044,-0.34053232043511467,0.03059999999999996,0.0386,0.022599999999999953,5560.888888888889,0.0003583719039011094,0.0003583719039011094,0.0003583719039011094,5_6:0.008036237621866144; 5_4:0.006903448509579413; 5_3:0.01601542460767899,5_6:341.3333333333333; 5_4:277.3333333333333; 5_3:241.77777777777777
6,123.1310310930032,143.2076790302794,5.128684806537577,-0.3404356760163406,0.022199999999999998,0.03500000000000003,0.0094,5560.888888888889,0.00017275700669931203,0.00017275700669931203,0.00017275700669931203,6_5:0.008036237621866144,6_5:305.77777777777777
