Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,√x (sx) error ,Pauli-X error ,CNOT error ,Gate time (ns)
0,205.68990529987212,82.77789678634181,5.1575752765421985,-0.3415245174784648,0.016666666666666607,0.013333333333333308,0.02,721.7777777777777,0.00019250395748304888,0.00019250395748304888,0.00019250395748304888,0_1:0.005394617233604848,0_1:391.1111111111111
1,174.2884857579849,53.65766930456157,5.033546653105454,-0.3443687022163673,0.010000000000000009,0.010000000000000009,0.01,721.7777777777777,0.000298622091086454,0.000298622091086454,0.000298622091086454,1_2:0.009646417910776778; 1_0:0.005394617233604848; 1_3:0.013946364453287258,1_2:640; 1_0:426.66666666666663; 1_3:369.77777777777777
2,101.61196156193729,23.341795941474697,4.862642382996045,-0.3472724723347956,0.026599999999999957,0.03520000000000001,0.018,721.7777777777777,0.0008673736848508618,0.0008673736848508618,0.0008673736848508618,2_1:0.009646417910776778,2_1:604.4444444444445
3,175.43739516846608,249.66881271796598,5.125105585545805,-0.3404418992142746,0.011666666666666714,0.006666666666666667,0.01666666666666672,721.7777777777777,0.0002554587638845252,0.0002554587638845252,0.0002554587638845252,3_5:0.010027909111360866; 3_1:0.013946364453287258,3_5:284.44444444444446; 3_1:334.22222222222223
4,105.17882214551938,83.72300666234229,5.159216957780516,-0.33336653711831216,0.011666666666666714,0.013333333333333334,0.010000000000000009,721.7777777777777,0.0005143856178711399,0.0005143856178711399,0.0005143856178711399,4_5:0.012004151337236979,4_5:590.2222222222222
5,191.97949643281768,171.1358861598662,4.978613002057572,-0.3460220316533784,0.016666666666666607,0.00666666666666671,0.02666666666666667,721.7777777777777,0.0007354589072197642,0.0007354589072197642,0.0007354589072197642,5_6:0.013197965054924904; 5_4:0.012004151337236979; 5_3:0.010027909111360866,5_6:640; 5_4:625.7777777777777; 5_3:320
6,99.95285031329352,141.87648852746116,5.15664306430212,-0.34045439072670325,0.0033333333333332993,0.0033333333333332993,0.0033333333333333335,721.7777777777777,0.00036472829757436823,0.00036472829757436823,0.00036472829757436823,6_5:0.013197965054924904,6_5:604.4444444444445
