N_Gen,Value,E_00,E_01,E_30,E_31
3,b0000,0.087369384765625,0.08184070228014285,0.022435302734375,0.021642274273994722
3,b0001,0.042337646484375,0.01618166444490575,0.02728759765625,0.0028450038456498015
3,b0010,0.030849609375,0.01410842313692338,0.031097412109375,0.01303240014207731
3,b0011,0.296671142578125,0.3369656918586265,0.314063720703125,0.3528291900481537
3,b0100,0.01757568359375,0.0029431209518705737,0.018785400390625,0.0005266279174922024
3,b0101,0.08769775390625,0.10112517333475708,0.05427001953125,0.060373495704669
3,b0110,0.06791015625,0.07946297115550376,0.058558349609375,0.06697679715701628
3,b0111,0.01033203125,0.003640664902764516,0.0122021484375,0.006967321088645348
3,b1000,0.01881103515625,0.0030042257469396986,0.01894775390625,0.0025519493814853554
3,b1001,0.082957763671875,0.09237230548718993,0.07315673828125,0.08334474363456218
3,b1010,0.04744873046875,0.05013397922657008,0.083416748046875,0.09093489666813115
3,b1011,0.007628173828125,0.0017213829283869559,0.007408447265625,0.0007607529978718066
3,b1100,0.16500732421875,0.1870420530984227,0.245816650390625,0.27396883785131226
3,b1101,0.013861083984375,0.010038284347974925,0.010689697265625,0.005309182086156983
3,b1110,0.0175927734375,0.01360802871638574,0.015059814453125,0.010336690089642992
3,b1111,0.00594970703125,0.005811328382635514,0.00680419921875,0.007599837113138979
4,b00000,0.0378466796875,0.03589644782931214,0.027713623046875,0.025053158245033715
4,b00001,0.050994873046875,0.052365999217629494,0.01129638671875,0.008215507257848137
4,b00010,0.043001708984375,0.04386493781149488,0.020303955078125,0.01806848904420921
4,b00011,0.024327392578125,0.016473834745856574,0.02451416015625,0.0055257215939473504
4,b00100,0.050791015625,0.04892849238141125,0.030762939453125,0.03071839531579533
4,b00101,0.02508544921875,0.017489281372300155,0.026187744140625,0.020535739629224486
4,b00110,0.028238525390625,0.022951174464028265,0.027938232421875,0.01861716149729912
4,b00111,0.145894775390625,0.16256268127020143,0.225797119140625,0.2711561979153664
4,b01000,0.020770263671875,0.014498993850674428,0.015418701171875,0.003738979658587971
4,b01001,0.0467041015625,0.052222565977036874,0.031324462890625,0.03326667292637911
4,b01010,0.03267822265625,0.03465782984981599,0.03095947265625,0.031239896663541954
4,b01011,0.012825927734375,0.012013934508165262,0.0069921875,0.004338065544304174
4,b01100,0.03194091796875,0.03316533544003612,0.041546630859375,0.04474988046453631
4,b01101,0.011663818359375,0.010747726747592463,0.010848388671875,0.009481397369314628
4,b01110,0.014561767578125,0.01471145986345686,0.02166259765625,0.020839242650632292
4,b01111,0.0112890625,0.008653917697070742,0.02175537109375,0.02172430613171247
4,b10000,0.034541015625,0.028110625054007618,0.026517333984375,0.022023025478795283
4,b10001,0.021234130859375,0.016928916694249233,0.012969970703125,0.008584253586912621
4,b10010,0.015728759765625,0.012155497554445959,0.011490478515625,0.006495200457111831
4,b10011,0.045306396484375,0.051483068687155395,0.03848388671875,0.043701027750132404
4,b10100,0.014429931640625,0.010585110137868397,0.00985107421875,0.007551419215866978
4,b10101,0.039598388671875,0.04465534562028331,0.038677978515625,0.04615378912186705
4,b10110,0.032821044921875,0.03672406854311313,0.041549072265625,0.049982430249442655
4,b10111,0.012330322265625,0.010245943429838587,0.008121337890625,0.002782991486247872
4,b11000,0.102177734375,0.1136914970959023,0.1464990234375,0.15868543353580036
4,b11001,0.019305419921875,0.021308458631592423,0.01699462890625,0.014389512940077119
4,b11010,0.021156005859375,0.019870861483850092,0.016097412109375,0.013740238510134017
4,b11011,0.01101806640625,0.011054501922254966,0.014493408203125,0.016283678136553882
4,b11100,0.016534423828125,0.015450984544398754,0.01733642578125,0.016233955822539364
4,b11101,0.009154052734375,0.009168971926245556,0.0100244140625,0.010321433623063456
4,b11110,0.009632568359375,0.010051409398666656,0.01036865234375,0.010455113285477826
4,b11111,0.006417236328125,0.0073101262500447125,0.0055029296875,0.005347684892244656
5,b000000,0.04096923828125,0.037235646351621715,0.01557861328125,0.01287497942519216
5,b000001,0.035888671875,0.03280892849789742,0.008267822265625,0.006555259115376875
5,b000010,0.031966552734375,0.030218871590957506,0.00957763671875,0.006114147106095829
5,b000011,0.021844482421875,0.020713992677111014,0.00745849609375,0.005703268726486006
5,b000100,0.0333544921875,0.03132540022786638,0.01561279296875,0.012828006711354223
5,b000101,0.0205126953125,0.018984265524342913,0.008587646484375,0.006430912481194988
5,b000110,0.026339111328125,0.025557194781108676,0.015882568359375,0.014553286784295953
5,b000111,0.017161865234375,0.014836323614849314,0.016668701171875,0.007432567260346048
5,b001000,0.03151611328125,0.03083971094071678,0.016971435546875,0.015294981171403271
5,b001001,0.01876953125,0.018521905270825006,0.011015625,0.010595814093721501
5,b001010,0.02344970703125,0.02351305697376078,0.02388427734375,0.02511382158554055
5,b001011,0.015301513671875,0.014609653548572979,0.016331787109375,0.01240276821090141
5,b001100,0.031890869140625,0.033166377630630905,0.026015625,0.029371863822360393
5,b001101,0.01642822265625,0.015160097234636558,0.01910400390625,0.016879567951393903
5,b001110,0.015655517578125,0.014406058814479695,0.02373291015625,0.02135094478247603
5,b001111,0.039290771484375,0.048178063156346235,0.111385498046875,0.13762223327064435
5,b010000,0.023011474609375,0.020823941870227684,0.011473388671875,0.005835228916672219
5,b010001,0.028079833984375,0.02911720173855298,0.01969482421875,0.021431381971065
5,b010010,0.023016357421875,0.024196798830300247,0.018809814453125,0.01875607875008916
5,b010011,0.0118603515625,0.011959613836670572,0.007041015625,0.005947933599331409
5,b010100,0.01579345703125,0.01592359363048312,0.01563232421875,0.014110633963276076
5,b010101,0.009365234375,0.00937690838546463,0.0084765625,0.0075065846745804455
5,b010110,0.010391845703125,0.010062622446489486,0.00824951171875,0.006292322608858838
5,b010111,0.007308349609375,0.007468711157322025,0.00654296875,0.005155463361000566
5,b011000,0.0161474609375,0.016972754478317194,0.0181591796875,0.01834214771008666
5,b011001,0.008331298828125,0.008752759889540624,0.009461669921875,0.009312675708146456
5,b011010,0.00919189453125,0.009382112126552919,0.01422119140625,0.015306285357560115
5,b011011,0.005885009765625,0.006477329745438845,0.00960693359375,0.009839596714146706
5,b011100,0.008826904296875,0.009777255515171373,0.0193310546875,0.01994136256688469
5,b011101,0.005537109375,0.005992179053898808,0.009063720703125,0.00910381131115445
5,b011110,0.00652587890625,0.0071889425043594815,0.016715087890625,0.019312711905054035
5,b011111,0.00491943359375,0.005476001921745376,0.016171875,0.01705191200798151
5,b100000,0.02990234375,0.025118669723278374,0.0219677734375,0.019728506205792234
5,b100001,0.02158935546875,0.019959290071576995,0.009759521484375,0.008959527464918975
5,b100010,0.02058837890625,0.019659230318275524,0.010235595703125,0.0090115792827522
5,b100011,0.0139453125,0.012470639062940665,0.00875,0.007099968376036595
5,b100100,0.015662841796875,0.014886580228320057,0.011641845703125,0.010546126951991898
5,b100101,0.012054443359375,0.010540761650750772,0.010384521484375,0.00864778824696951
5,b100110,0.009769287109375,0.008507019442570096,0.010087890625,0.006306471814555882
5,b100111,0.016292724609375,0.018123072053505947,0.015308837890625,0.016973934992206032
5,b101000,0.012962646484375,0.012569049560919041,0.010020751953125,0.009651942791913087
5,b101001,0.009498291015625,0.0091537304767261,0.00803466796875,0.007368880002119972
5,b101010,0.00824951171875,0.0074748918430509615,0.008695068359375,0.0072421900962885135
5,b101011,0.012359619140625,0.013924451826366934,0.017471923828125,0.02031748313362125
5,b101100,0.008013916015625,0.007587071308833326,0.00875,0.00784949612883532
5,b101101,0.011204833984375,0.012603422156718806,0.01788330078125,0.022353950866394454
5,b101110,0.01227294921875,0.013588411619493968,0.035660400390625,0.04322058778210311
5,b101111,0.00649658203125,0.006200540673179663,0.009468994140625,0.007951314216613013
5,b110000,0.04222900390625,0.04550691114856698,0.065618896484375,0.0743937257818112
5,b110001,0.01625732421875,0.01805227514159261,0.016883544921875,0.01629683327695683
5,b110010,0.01616455078125,0.01658883005105067,0.016094970703125,0.015428477043843243
5,b110011,0.0098095703125,0.01074279118825593,0.01145263671875,0.011661445787023588
5,b110100,0.01242919921875,0.012571408661881268,0.020150146484375,0.019120823954829436
5,b110101,0.007523193359375,0.00807480981172353,0.011728515625,0.011752851146526142
5,b110110,0.007843017578125,0.008368089923310605,0.009158935546875,0.008680495858764428
5,b110111,0.005706787109375,0.006124580616722702,0.0073388671875,0.006981713793434825
5,b111000,0.01075927734375,0.011263100963148484,0.015859375,0.016893045382610786
5,b111001,0.0060595703125,0.006812618955466991,0.00988037109375,0.010771525681270227
5,b111010,0.006474609375,0.007317396130093403,0.00854248046875,0.009333570762770672
5,b111011,0.0046044921875,0.005345136751793686,0.00722900390625,0.007765591698310609
5,b111100,0.00625,0.007123854259699424,0.008240966796875,0.00838896621646925
5,b111101,0.004222412109375,0.004960608380873064,0.008104248046875,0.008816530553454832
5,b111110,0.0048486328125,0.005620476560762149,0.008863525390625,0.009236159326133047
5,b111111,0.003424072265625,0.004136005472292032,0.006005859375,0.006877941758006974
6,b0000000,0.040684814453125,0.03940981402776989,0.009564208984375,0.007530507363959849
6,b0000001,0.033118896484375,0.03084444802986839,0.00858642578125,0.006783734126552437
6,b0000010,0.025986328125,0.024307709541410195,0.0078515625,0.006352471962206437
6,b0000011,0.024140625,0.023255742683950347,0.00775146484375,0.0063922480464121455
6,b0000100,0.022412109375,0.020410968732727873,0.0083642578125,0.007502015223938964
6,b0000101,0.020247802734375,0.019350304240483084,0.00762451171875,0.006833777814216321
6,b0000110,0.0169580078125,0.015275283658597925,0.008167724609375,0.007334383028346056
6,b0000111,0.0155224609375,0.014816525545610516,0.007713623046875,0.007379106329230803
6,b0001000,0.018111572265625,0.016692548220366775,0.008138427734375,0.007091049768808191
6,b0001001,0.015946044921875,0.01543495380805469,0.007366943359375,0.006479882847136086
6,b0001010,0.013594970703125,0.012358896504122429,0.007259521484375,0.0065962493340485494
6,b0001011,0.01240478515625,0.01193587560745964,0.00678466796875,0.006358775125476288
6,b0001100,0.012027587890625,0.011005158608898993,0.007967529296875,0.008029133350967103
6,b0001101,0.01072998046875,0.010426912091225189,0.007095947265625,0.007206896883130241
6,b0001110,0.010020751953125,0.009371684919283921,0.00813720703125,0.008591779231991708
6,b0001111,0.008460693359375,0.0083910155006029,0.006917724609375,0.007166378013905793
6,b0010000,0.016253662109375,0.015694518647484786,0.01038818359375,0.008540114697902734
6,b0010001,0.01490478515625,0.015158497337879173,0.00883544921875,0.007247416032072326
6,b0010010,0.01233642578125,0.011745690514161224,0.009276123046875,0.007488683182952346
6,b0010011,0.0112548828125,0.010802757418175235,0.008006591796875,0.007123245664928815
6,b0010100,0.01109130859375,0.010120745554161774,0.010946044921875,0.010179022316680948
6,b0010101,0.009771728515625,0.009750355888019778,0.00904541015625,0.008870445619092233
6,b0010110,0.00889892578125,0.008691635024861583,0.010650634765625,0.010990191439891302
6,b0010111,0.007559814453125,0.007105494021552743,0.008642578125,0.008207295781611721
6,b0011000,0.0094384765625,0.009111413805808535,0.010474853515625,0.009178074923139183
6,b0011001,0.0081884765625,0.007956620474749185,0.0089501953125,0.008746995254043526
6,b0011010,0.007298583984375,0.007360004189733188,0.010819091796875,0.011576436724721972
6,b0011011,0.006270751953125,0.006459723523934039,0.00839111328125,0.007358891585308809
6,b0011100,0.00666259765625,0.006623385431976241,0.01241943359375,0.014510543699542949
6,b0011101,0.0059033203125,0.0058332394410982895,0.00901123046875,0.009273432420605576
6,b0011110,0.005025634765625,0.004859420316324628,0.009237060546875,0.009579409508503063
6,b0011111,0.006103515625,0.006355880605403372,0.016334228515625,0.02127532027245535
6,b0100000,0.018587646484375,0.019677569514668466,0.00793212890625,0.005727139453941166
6,b0100001,0.016123046875,0.017298379087890184,0.00982177734375,0.008740117805841606
6,b0100010,0.01291748046875,0.013572388338380297,0.00774658203125,0.006639791398529421
6,b0100011,0.010975341796875,0.011814487066796947,0.00689208984375,0.006024552802971451
6,b0100100,0.01054931640625,0.010521060465689111,0.008077392578125,0.007918755757748941
6,b0100101,0.008831787109375,0.009450358232256545,0.00673095703125,0.0065923604028243965
6,b0100110,0.00740234375,0.007644656577205514,0.0067578125,0.006264819567379015
6,b0100111,0.00681396484375,0.007266975238517932,0.006461181640625,0.006437776968995711
6,b0101000,0.007479248046875,0.007853904173827085,0.008045654296875,0.007520509213753459
6,b0101001,0.006177978515625,0.007243524801281563,0.006304931640625,0.00586489472731324
6,b0101010,0.0055126953125,0.0058889455412131165,0.005958251953125,0.005839668699956812
6,b0101011,0.004912109375,0.005564880723875607,0.005635986328125,0.005680638321342445
6,b0101100,0.004669189453125,0.004806945289228887,0.006710205078125,0.007010938203646769
6,b0101101,0.004185791015625,0.0044957244033578285,0.00554931640625,0.005968708391275768
6,b0101110,0.0037158203125,0.003805625235440029,0.005875244140625,0.006394103314243559
6,b0101111,0.003304443359375,0.0036445530809401964,0.005047607421875,0.005540677968361677
6,b0110000,0.007294921875,0.007501860278421033,0.009483642578125,0.008123826420027432
6,b0110001,0.006331787109375,0.006972621148143876,0.007689208984375,0.006665742713179979
6,b0110010,0.005155029296875,0.005632133080251305,0.007706298828125,0.006770334063099704
6,b0110011,0.00472900390625,0.004945831633371303,0.006737060546875,0.006147282914223888
6,b0110100,0.00443359375,0.004497101167088051,0.008306884765625,0.00837775482397881
6,b0110101,0.003929443359375,0.004078670627198715,0.006829833984375,0.006963025922779071
6,b0110110,0.00316162109375,0.003611693743319195,0.007515869140625,0.007669170033324089
6,b0110111,0.002958984375,0.0034862146131169553,0.00595703125,0.006154490342494878
6,b0111000,0.003697509765625,0.0038984360585501763,0.008201904296875,0.007717082826064222
6,b0111001,0.00311279296875,0.0035240929511931073,0.00693115234375,0.006855658112367083
6,b0111010,0.002646484375,0.002847653918128295,0.00697509765625,0.006921776796853576
6,b0111011,0.0024072265625,0.0027546203054634494,0.00596923828125,0.006285388316089594
6,b0111100,0.0024560546875,0.002606395345033802,0.00717529296875,0.008105791891090293
6,b0111101,0.00220458984375,0.0024357764606164163,0.006309814453125,0.0071870005371246935
6,b0111110,0.001942138671875,0.002088461435845361,0.00702392578125,0.008561505534599641
6,b0111111,0.001842041015625,0.002125226561729576,0.006392822265625,0.007705221061554952
6,b1000000,0.020694580078125,0.01938544613270614,0.010081787109375,0.008358808885026468
6,b1000001,0.01948486328125,0.01999679453714833,0.00812744140625,0.007115797442069031
6,b1000010,0.01534423828125,0.01443895452355552,0.008125,0.006964111276627363
6,b1000011,0.0134033203125,0.012819964229926616,0.007857666015625,0.006967555117495469
6,b1000100,0.012587890625,0.011897088611434958,0.007667236328125,0.007001401022974434
6,b1000101,0.01108154296875,0.010792141266316108,0.007269287109375,0.007046445164134453
6,b1000110,0.009644775390625,0.00901281515267924,0.00766357421875,0.007800331816331079
6,b1000111,0.00861572265625,0.008635932107605137,0.007752685546875,0.007944401246910421
6,b1001000,0.0096484375,0.009098939892450968,0.00705322265625,0.006607237374826309
6,b1001001,0.008409423828125,0.008531626557830015,0.006749267578125,0.006462977430104409
6,b1001010,0.007540283203125,0.00718617555896199,0.006573486328125,0.006601536545154392
6,b1001011,0.0069482421875,0.006925422822928096,0.00636962890625,0.006405674729046634
6,b1001100,0.0064501953125,0.006383556586247972,0.0066162109375,0.007213593644319866
6,b1001101,0.005887451171875,0.005785531643275654,0.00608642578125,0.006843326496748713
6,b1001110,0.00491943359375,0.004789279935021586,0.00563232421875,0.006172997781760601
6,b1001111,0.00537841796875,0.00566359838932221,0.007725830078125,0.009376512169223939
